anno;numero;data;oggetto;link
2005;2997;02.11.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=2997
2005;3320;02.12.2005;Divieto di sosta in varie vie per pulizia di fondo sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=3320
2005;178;03.02.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=178
2005;177;03.02.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=177
2005;2329;03.10.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=2329
2005;2328;03.10.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=2328
2005;2327;03.10.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=2327
2005;3319;03.12.2005;Divieto di sosta nel Piazzale Enrico Coveri per pulizia di di fondo sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=3319
2005;3318;03.12.2005;Divieto di sosta in via Migliore di Cino per pulizia di fondo sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=3318
2005;3317;03.12.2005;Divieto di sosta in via Migliore di Cino per pulizia di fondo sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=3317
